qx,qy,emitx,emity
1.38217100193,1.38217100193,1.56841555965e-08,7.40246525555e-09
1.39223978799,1.38211535236,1.48405575671e-08,6.39575892737e-09
1.40230669151,1.38205962671,1.48593096505e-08,6.41509160645e-09
1.41237168827,1.3820038313,1.40577512106e-08,6.32650094437e-09
1.42243475305,1.38194797242,1.36995676631e-08,6.26257239113e-09
1.43249585964,1.38189205639,1.34233929704e-08,6.35829962148e-09
1.44255498082,1.38183608956,1.36627962507e-08,6.20843182699e-09
1.45261208832,1.38178007828,1.30538239197e-08,6.51681133152e-09
1.46266715282,1.38172402891,1.39378578905e-08,6.69709096072e-09
1.47272014392,1.38166794781,1.28051559451e-08,6.47443341141e-09
1.4827710301,1.38161184138,1.21828241954e-08,6.17603456756e-09
1.49281977872,1.381555716,1.20712834167e-08,6.37213278567e-09
1.50286635598,1.38149957808,1.15927553927e-08,6.37948061606e-09
1.5129107269,1.38144343403,1.16171523442e-08,6.8634914017e-09
1.52295285526,1.38138729027,1.12723544225e-08,6.92754015871e-09
1.53299270361,1.38133115322,1.07711551131e-08,6.79324388612e-09
1.54303023322,1.38127502931,1.04924650396e-08,7.00635729465e-09
1.55306540404,1.38121892498,1.07587353644e-08,7.12441243677e-09
1.56309817467,1.38116284667,1.06306293685e-08,7.3125309829e-09
1.57312850231,1.38110680083,1.14938499272e-08,7.52358234371e-09
1.58315634272,1.3810507939,1.16492856439e-08,7.5549527395e-09
1.59318165022,1.38099483234,1.40617297252e-08,7.66932671758e-09
1.60320437757,1.3809389226,1.37993993661e-08,8.01012549218e-09
1.613224476,1.38088307112,1.53704386979e-08,8.28470942386e-09
1.6232418951,1.38082728438,1.60288641817e-08,8.79860676992e-09
1.63325658279,1.38077156881,1.74659672071e-08,8.72928634097e-09
1.6432684853,1.38071593088,1.70872529641e-08,8.27144331277e-09
1.65327754706,1.38066037702,1.81872647986e-08,9.1269967649e-09
1.66328371068,1.38060491369,1.70014594478e-08,9.77004726783e-09
1.67328691684,1.38054954733,1.84278219985e-08,9.27810144521e-09
1.6832871043,1.38049428438,1.97883085172e-08,9.88365693113e-09
1.69328420978,1.38043913127,2.26831659155e-08,1.02328192925e-08
1.70327816787,1.38038409443,2.53077201573e-08,1.07141353464e-08
1.71326891101,1.38032918028,3.26728370151e-08,1.07655319302e-08
1.72325636939,1.38027439523,3.87009681346e-08,1.11451282016e-08
1.73324047085,1.38021974569,3.90016090356e-08,1.16048663794e-08
1.74322114081,1.38016523805,3.83971995825e-08,1.1356837799e-08
1.75319830218,1.3801108787,3.68120695031e-08,1.13483343768e-08
1.76317187527,1.38005667401,3.65673011751e-08,1.16047081412e-08
1.77314177768,1.38000263034,3.46417148021e-08,1.19489173413e-08
1.7831079242,1.37994875405,3.25125141157e-08,1.16308837626e-08
1.79307022669,1.37989505147,3.17604057766e-08,1.19063210651e-08
1.803028594,1.37984152892,3.09925414078e-08,1.24124066654e-08
1.8129829318,1.37978819272,2.93281303211e-08,1.25530467861e-08
1.82293314251,1.37973504916,2.91913898275e-08,1.29866884711e-08
1.83287912511,1.37968210451,2.70564032607e-08,1.30490737508e-08
1.84282077505,1.37962936503,2.59351349589e-08,1.30327133023e-08
1.85275798406,1.37957683696,2.49394523032e-08,1.37447045509e-08
1.86269064005,1.37952452653,2.37213639022e-08,1.32512629887e-08
1.87261862688,1.37947243994,2.27980346963e-08,1.45463874034e-08
1.38210978311,1.39324656345,1.41182171087e-08,8.07814263949e-09
1.39217865622,1.39319100057,1.42695043776e-08,7.13510589235e-09
1.4022456398,1.39313536178,1.49317446923e-08,6.43839700504e-09
1.41231070965,1.39307965336,1.39901515445e-08,6.26112406085e-09
